# column 0: Wavelength [micron]
# column 1: Total attenuated SED [Jy]
# column 2: Primary sources attenuated SED [Jy]
# column 3: Primary emission [W/Hz]
# column 4: Evolved stellar populations emission [W/Hz]
# 
3.8360e+00 5.2357e+03 4.5699e+03 2.2156e+26 2.1749e+26
3.9357e+00 5.0817e+03 4.4053e+03 2.1346e+26 2.0955e+26
4.0379e+00 5.1018e+03 4.4059e+03 2.2501e+26 2.0278e+26
4.1427e+00 4.9073e+03 4.1860e+03 2.0163e+26 1.9781e+26
4.2503e+00 4.8083e+03 4.0567e+03 1.9804e+26 1.9430e+26
4.3607e+00 4.4343e+03 3.6475e+03 1.7533e+26 1.7151e+26
4.4740e+00 4.2160e+03 3.3893e+03 1.6294e+26 1.5971e+26
4.5902e+00 4.0500e+03 3.1784e+03 1.5136e+26 1.4810e+26
4.7094e+00 4.0683e+03 3.1457e+03 1.5164e+26 1.4434e+26
4.8317e+00 3.9733e+03 2.9929e+03 1.4539e+26 1.4182e+26
4.9572e+00 3.9270e+03 2.8802e+03 1.3843e+26 1.3454e+26
5.0860e+00 3.9182e+03 2.7933e+03 1.3436e+26 1.2972e+26
5.2181e+00 3.9759e+03 2.7569e+03 1.3273e+26 1.2562e+26
5.3536e+00 4.0089e+03 2.6711e+03 1.2876e+26 1.2183e+26
5.4927e+00 4.0893e+03 2.5909e+03 1.2473e+26 1.1839e+26
5.6353e+00 4.2907e+03 2.5514e+03 1.2287e+26 1.1442e+26
5.7817e+00 4.6531e+03 2.4853e+03 1.1979e+26 1.1049e+26
5.9319e+00 5.6056e+03 2.4406e+03 1.1767e+26 1.0649e+26
6.0859e+00 9.1705e+03 2.5119e+03 1.2155e+26 1.0280e+26
6.2440e+00 1.6107e+04 2.6535e+03 1.3121e+26 9.8094e+25
6.4062e+00 1.0343e+04 2.3566e+03 1.1309e+26 9.3796e+25
6.5725e+00 7.2085e+03 2.1758e+03 1.0462e+26 8.9392e+25
6.7433e+00 7.6559e+03 2.1357e+03 1.0307e+26 8.5749e+25
6.9184e+00 1.0288e+04 2.4098e+03 1.1864e+26 8.1638e+25
7.0981e+00 1.1106e+04 2.3100e+03 1.1302e+26 7.8192e+25
7.2824e+00 1.2601e+04 2.1940e+03 1.0571e+26 7.5288e+25
7.4716e+00 1.9063e+04 2.6331e+03 1.3104e+26 7.2105e+25
7.6656e+00 2.9573e+04 2.9320e+03 1.4388e+26 6.8542e+25
7.8647e+00 2.7335e+04 2.7667e+03 1.3550e+26 6.5705e+25
8.0690e+00 1.5887e+04 2.2795e+03 1.0877e+26 6.3073e+25
8.2786e+00 1.1644e+04 2.0401e+03 9.8726e+25 6.0130e+25
8.4936e+00 1.4694e+04 2.0452e+03 1.0040e+26 5.7655e+25
8.7142e+00 1.3367e+04 1.8457e+03 9.1533e+25 5.5395e+25
8.9405e+00 8.8503e+03 2.7074e+03 1.6481e+26 5.3539e+25
9.1728e+00 5.9626e+03 1.4602e+03 7.0192e+25 5.0945e+25
9.4110e+00 5.3277e+03 1.3767e+03 6.8688e+25 4.8986e+25
9.6554e+00 5.1393e+03 1.3616e+03 6.8368e+25 4.7090e+25
9.9062e+00 5.1825e+03 1.3613e+03 6.8711e+25 4.5481e+25
1.0164e+01 5.4374e+03 1.3659e+03 6.8499e+25 4.2874e+25
1.0427e+01 7.3124e+03 2.7001e+03 1.5459e+26 4.0616e+25
1.0698e+01 7.4749e+03 1.5618e+03 7.4309e+25 3.8479e+25
1.0976e+01 1.2260e+04 1.6639e+03 8.1554e+25 3.6456e+25
1.1261e+01 2.4955e+04 2.6783e+03 1.5661e+26 3.4542e+25
1.1554e+01 1.7760e+04 2.0068e+03 9.7983e+25 3.2729e+25
1.1854e+01 1.2035e+04 1.8655e+03 9.1873e+25 3.1014e+25
1.2162e+01 1.2796e+04 1.9715e+03 9.4307e+25 2.9389e+25
1.2478e+01 1.7734e+04 2.2348e+03 1.0417e+26 2.7851e+25
1.2802e+01 2.1636e+04 5.4967e+03 4.5460e+26 2.6395e+25
1.3134e+01 1.2836e+04 1.8306e+03 8.5609e+25 2.5016e+25
1.3475e+01 9.8371e+03 1.7143e+03 8.4174e+25 2.3711e+25
1.3825e+01 8.6112e+03 1.6338e+03 7.8725e+25 2.2474e+25
1.4184e+01 8.2776e+03 1.6298e+03 7.9813e+25 2.1303e+25
1.4553e+01 8.2162e+03 1.6009e+03 7.7750e+25 2.0194e+25
1.4931e+01 8.2391e+03 1.6670e+03 8.1600e+25 1.9143e+25
1.5319e+01 1.0078e+04 3.5666e+03 2.1573e+26 1.8148e+25
1.5716e+01 1.2997e+04 6.5814e+03 3.5031e+26 1.7205e+25
1.6125e+01 9.0581e+03 2.6988e+03 1.2182e+26 1.6312e+25
1.6543e+01 9.4305e+03 2.9581e+03 1.4689e+26 1.5466e+25
1.6973e+01 9.8915e+03 3.2905e+03 1.6601e+26 1.4665e+25
1.7414e+01 1.0290e+04 3.5640e+03 1.8135e+26 1.3905e+25
1.7866e+01 1.0546e+04 3.6754e+03 1.8583e+26 1.3186e+25
1.8330e+01 1.1253e+04 4.2063e+03 2.0124e+26 1.2504e+25
1.8806e+01 1.5651e+04 8.3786e+03 4.7240e+26 1.1858e+25
1.9295e+01 1.2212e+04 4.7010e+03 2.3555e+26 1.1245e+25
1.9796e+01 1.2712e+04 4.9595e+03 2.4941e+26 1.0665e+25
2.0310e+01 1.3255e+04 5.2638e+03 2.6439e+26 1.0133e+25
2.0838e+01 1.3817e+04 5.5848e+03 2.7988e+26 9.6394e+24
2.1379e+01 1.4481e+04 5.9808e+03 2.9703e+26 9.1697e+24
2.1934e+01 1.5288e+04 6.4924e+03 3.2588e+26 8.7229e+24
2.2504e+01 1.5838e+04 6.7431e+03 3.3627e+26 8.2979e+24
2.3088e+01 1.6585e+04 7.1882e+03 3.5786e+26 7.8936e+24
2.3688e+01 1.7373e+04 7.6675e+03 3.8107e+26 7.5089e+24
2.4303e+01 1.8221e+04 8.1884e+03 4.0628e+26 7.1431e+24
2.4934e+01 1.9152e+04 8.7505e+03 4.3350e+26 6.7950e+24
2.5582e+01 2.0135e+04 9.3482e+03 4.6240e+26 6.4639e+24
2.6246e+01 2.1178e+04 9.9831e+03 4.9316e+26 6.1489e+24
2.6928e+01 2.2281e+04 1.0660e+04 5.2586e+26 5.8493e+24
2.7628e+01 2.3459e+04 1.1390e+04 5.6110e+26 5.5643e+24
2.8345e+01 2.4754e+04 1.2176e+04 5.9901e+26 5.2932e+24
2.9081e+01 2.6142e+04 1.3019e+04 6.3969e+26 5.0353e+24
2.9837e+01 2.7617e+04 1.3917e+04 6.8304e+26 4.7899e+24
3.0612e+01 2.9198e+04 1.4870e+04 7.2901e+26 4.5566e+24
3.1407e+01 3.0931e+04 1.5882e+04 7.7780e+26 4.3345e+24
3.2222e+01 3.2778e+04 1.6961e+04 8.2976e+26 4.1233e+24
3.3059e+01 3.6987e+04 2.0353e+04 8.8527e+26 3.9224e+24
3.3918e+01 5.4081e+04 3.6508e+04 1.8998e+27 3.7313e+24
